time_window,gate_dir,vehicle_model[0],vehicle_model[1],vehicle_model[2],vehicle_model[3],vehicle_model[4],vehicle_model[5],vehicle_model[6],vehicle_model[7],has_etc[0],has_etc[1],working_day,total_volume
"[2016-10-19 06:00:00,2016-10-19 06:20:00)",0,0,10,2,0,0,0,0,0,11,1,1,12
"[2016-10-19 06:00:00,2016-10-19 06:20:00)",1,0,35,4,5,0,4,0,0,42,6,1,48
"[2016-10-19 06:00:00,2016-10-19 06:20:00)",2,0,19,6,0,1,0,0,0,20,6,1,26
"[2016-10-19 06:00:00,2016-10-19 06:20:00)",3,0,15,8,0,1,0,0,0,21,3,1,24
"[2016-10-19 06:00:00,2016-10-19 06:20:00)",4,0,12,3,4,0,2,0,0,19,2,1,21
"[2016-10-19 06:20:00,2016-10-19 06:40:00)",0,0,13,3,0,0,0,0,0,12,4,1,16
"[2016-10-19 06:20:00,2016-10-19 06:40:00)",1,0,18,6,1,0,3,0,0,24,4,1,28
"[2016-10-19 06:20:00,2016-10-19 06:40:00)",2,0,33,11,1,0,0,0,0,37,8,1,45
"[2016-10-19 06:20:00,2016-10-19 06:40:00)",3,1,32,23,1,0,0,0,0,46,11,1,57
"[2016-10-19 06:20:00,2016-10-19 06:40:00)",4,0,20,3,1,1,1,0,0,19,7,1,26
"[2016-10-19 06:40:00,2016-10-19 07:00:00)",0,0,11,3,2,1,0,0,0,13,4,1,17
"[2016-10-19 06:40:00,2016-10-19 07:00:00)",1,0,42,8,4,2,1,0,0,42,15,1,57
"[2016-10-19 06:40:00,2016-10-19 07:00:00)",2,0,42,5,0,0,0,0,0,32,15,1,47
"[2016-10-19 06:40:00,2016-10-19 07:00:00)",3,0,57,14,2,2,0,0,0,52,23,1,75
"[2016-10-19 06:40:00,2016-10-19 07:00:00)",4,0,34,5,2,1,1,0,0,32,11,1,43
"[2016-10-19 07:00:00,2016-10-19 07:20:00)",0,0,15,5,1,1,0,0,0,13,9,1,22
"[2016-10-19 07:00:00,2016-10-19 07:20:00)",1,0,48,12,1,1,4,1,0,49,18,1,67
"[2016-10-19 07:00:00,2016-10-19 07:20:00)",2,0,78,7,1,1,0,0,0,51,36,1,87
"[2016-10-19 07:00:00,2016-10-19 07:20:00)",3,0,93,20,1,5,0,0,0,78,41,1,119
"[2016-10-19 07:00:00,2016-10-19 07:20:00)",4,0,44,5,2,2,0,0,0,34,19,1,53
"[2016-10-19 07:20:00,2016-10-19 07:40:00)",0,0,33,5,0,0,0,0,0,28,10,1,38
"[2016-10-19 07:20:00,2016-10-19 07:40:00)",1,0,82,9,4,1,2,0,0,75,23,1,98
"[2016-10-19 07:20:00,2016-10-19 07:40:00)",2,0,91,3,0,1,0,0,0,59,36,1,95
"[2016-10-19 07:20:00,2016-10-19 07:40:00)",3,0,106,20,2,9,0,0,0,85,52,1,137
"[2016-10-19 07:20:00,2016-10-19 07:40:00)",4,0,56,3,3,0,1,0,0,39,24,1,63
"[2016-10-19 07:40:00,2016-10-19 08:00:00)",0,0,38,3,0,0,0,0,0,26,15,1,41
"[2016-10-19 07:40:00,2016-10-19 08:00:00)",1,0,84,10,3,2,3,0,1,76,27,1,103
"[2016-10-19 07:40:00,2016-10-19 08:00:00)",2,0,90,8,0,1,0,0,0,58,41,1,99
"[2016-10-19 07:40:00,2016-10-19 08:00:00)",3,0,137,10,2,3,0,0,0,103,49,1,152
"[2016-10-19 07:40:00,2016-10-19 08:00:00)",4,0,98,1,1,0,4,0,0,74,30,1,104
"[2016-10-19 15:00:00,2016-10-19 15:20:00)",0,0,35,5,0,0,0,0,0,32,8,1,40
"[2016-10-19 15:00:00,2016-10-19 15:20:00)",1,0,72,7,3,1,0,0,0,63,20,1,83
"[2016-10-19 15:00:00,2016-10-19 15:20:00)",2,0,60,8,0,2,0,0,0,52,18,1,70
"[2016-10-19 15:00:00,2016-10-19 15:20:00)",3,0,88,16,2,1,0,0,0,79,28,1,107
"[2016-10-19 15:00:00,2016-10-19 15:20:00)",4,0,90,5,0,2,2,0,0,78,21,1,99
"[2016-10-19 15:20:00,2016-10-19 15:40:00)",0,0,31,3,0,0,0,0,0,25,9,1,34
"[2016-10-19 15:20:00,2016-10-19 15:40:00)",1,0,87,6,3,1,2,0,0,73,26,1,99
"[2016-10-19 15:20:00,2016-10-19 15:40:00)",2,0,58,11,0,0,0,0,0,53,16,1,69
"[2016-10-19 15:20:00,2016-10-19 15:40:00)",3,0,74,20,0,2,0,0,0,69,27,1,96
"[2016-10-19 15:20:00,2016-10-19 15:40:00)",4,0,98,6,3,1,0,0,0,73,35,1,108
"[2016-10-19 15:40:00,2016-10-19 16:00:00)",0,0,45,5,0,0,0,0,0,34,16,1,50
"[2016-10-19 15:40:00,2016-10-19 16:00:00)",1,0,78,6,3,4,1,0,0,59,33,1,92
"[2016-10-19 15:40:00,2016-10-19 16:00:00)",2,0,49,9,0,0,0,0,0,49,9,1,58
"[2016-10-19 15:40:00,2016-10-19 16:00:00)",3,0,79,14,0,2,0,0,0,71,24,1,95
"[2016-10-19 15:40:00,2016-10-19 16:00:00)",4,0,71,2,3,2,1,0,0,60,19,1,79
"[2016-10-19 16:00:00,2016-10-19 16:20:00)",0,0,38,1,0,0,0,0,0,34,5,1,39
"[2016-10-19 16:00:00,2016-10-19 16:20:00)",1,0,72,5,0,2,3,0,0,64,18,1,82
"[2016-10-19 16:00:00,2016-10-19 16:20:00)",2,0,51,4,0,0,0,0,0,43,12,1,55
"[2016-10-19 16:00:00,2016-10-19 16:20:00)",3,0,85,22,0,2,0,0,0,79,30,1,109
"[2016-10-19 16:00:00,2016-10-19 16:20:00)",4,0,74,5,2,0,0,0,1,55,27,1,82
"[2016-10-19 16:20:00,2016-10-19 16:40:00)",0,0,36,4,0,0,0,0,0,28,12,1,40
"[2016-10-19 16:20:00,2016-10-19 16:40:00)",1,0,77,2,1,0,0,0,0,58,22,1,80
"[2016-10-19 16:20:00,2016-10-19 16:40:00)",2,0,52,9,0,0,0,0,0,46,15,1,61
"[2016-10-19 16:20:00,2016-10-19 16:40:00)",3,0,81,24,0,0,0,0,0,81,24,1,105
"[2016-10-19 16:20:00,2016-10-19 16:40:00)",4,0,82,5,1,1,0,0,0,64,25,1,89
"[2016-10-19 16:40:00,2016-10-19 17:00:00)",0,0,36,0,0,0,0,0,0,25,11,1,36
"[2016-10-19 16:40:00,2016-10-19 17:00:00)",1,0,75,5,3,1,1,0,0,70,15,1,85
"[2016-10-19 16:40:00,2016-10-19 17:00:00)",2,0,53,10,0,1,0,0,0,52,12,1,64
"[2016-10-19 16:40:00,2016-10-19 17:00:00)",3,0,71,20,1,3,0,0,0,65,30,1,95
"[2016-10-19 16:40:00,2016-10-19 17:00:00)",4,0,72,1,0,1,1,0,0,52,23,1,75
"[2016-10-20 06:00:00,2016-10-20 06:20:00)",0,0,7,1,0,0,0,0,0,4,4,1,8
"[2016-10-20 06:00:00,2016-10-20 06:20:00)",1,0,37,3,4,0,2,0,0,41,5,1,46
"[2016-10-20 06:00:00,2016-10-20 06:20:00)",2,0,18,3,0,0,0,0,0,16,5,1,21
"[2016-10-20 06:00:00,2016-10-20 06:20:00)",3,0,26,10,1,0,0,0,0,31,6,1,37
"[2016-10-20 06:00:00,2016-10-20 06:20:00)",4,0,12,3,0,0,1,0,0,14,2,1,16
"[2016-10-20 06:20:00,2016-10-20 06:40:00)",0,0,15,1,0,0,0,0,0,13,3,1,16
"[2016-10-20 06:20:00,2016-10-20 06:40:00)",1,0,19,3,1,0,4,0,0,24,3,1,27
"[2016-10-20 06:20:00,2016-10-20 06:40:00)",2,1,18,4,0,0,0,0,0,17,6,1,23
"[2016-10-20 06:20:00,2016-10-20 06:40:00)",3,0,36,8,0,0,0,0,0,39,5,1,44
"[2016-10-20 06:20:00,2016-10-20 06:40:00)",4,0,27,5,8,2,7,0,0,43,6,1,49
"[2016-10-20 06:40:00,2016-10-20 07:00:00)",0,0,18,2,2,1,0,0,0,15,8,1,23
"[2016-10-20 06:40:00,2016-10-20 07:00:00)",1,0,33,17,1,1,3,0,0,45,10,1,55
"[2016-10-20 06:40:00,2016-10-20 07:00:00)",2,0,34,8,0,0,0,0,0,32,10,1,42
"[2016-10-20 06:40:00,2016-10-20 07:00:00)",3,0,56,13,2,2,0,0,0,53,20,1,73
"[2016-10-20 06:40:00,2016-10-20 07:00:00)",4,0,29,1,4,0,3,0,0,25,12,1,37
"[2016-10-20 07:00:00,2016-10-20 07:20:00)",0,0,16,5,0,1,0,0,0,18,4,1,22
"[2016-10-20 07:00:00,2016-10-20 07:20:00)",1,0,54,7,3,2,5,0,0,54,17,1,71
"[2016-10-20 07:00:00,2016-10-20 07:20:00)",2,0,71,4,0,1,0,0,0,48,28,1,76
"[2016-10-20 07:00:00,2016-10-20 07:20:00)",3,0,95,13,2,4,0,0,0,78,36,1,114
"[2016-10-20 07:00:00,2016-10-20 07:20:00)",4,0,42,4,1,0,0,0,0,34,13,1,47
"[2016-10-20 07:20:00,2016-10-20 07:40:00)",0,0,31,2,0,0,0,0,0,25,8,1,33
"[2016-10-20 07:20:00,2016-10-20 07:40:00)",1,0,77,9,1,0,1,0,0,67,21,1,88
"[2016-10-20 07:20:00,2016-10-20 07:40:00)",2,0,87,1,1,0,0,0,0,45,44,1,89
"[2016-10-20 07:20:00,2016-10-20 07:40:00)",3,0,102,16,2,3,0,0,0,74,49,1,123
"[2016-10-20 07:20:00,2016-10-20 07:40:00)",4,0,52,3,0,0,4,0,1,40,20,1,60
"[2016-10-20 07:40:00,2016-10-20 08:00:00)",0,0,34,3,0,0,0,0,0,30,7,1,37
"[2016-10-20 07:40:00,2016-10-20 08:00:00)",1,0,103,3,2,2,1,0,0,82,29,1,111
"[2016-10-20 07:40:00,2016-10-20 08:00:00)",2,0,104,8,0,0,0,0,0,61,51,1,112
"[2016-10-20 07:40:00,2016-10-20 08:00:00)",3,0,104,14,0,2,0,0,0,76,44,1,120
"[2016-10-20 07:40:00,2016-10-20 08:00:00)",4,0,95,5,0,1,3,0,0,75,29,1,104
"[2016-10-20 15:00:00,2016-10-20 15:20:00)",0,1,35,4,0,0,0,0,0,30,10,1,40
"[2016-10-20 15:00:00,2016-10-20 15:20:00)",1,0,84,11,1,0,1,0,0,73,24,1,97
"[2016-10-20 15:00:00,2016-10-20 15:20:00)",2,0,58,13,0,1,0,0,0,59,13,1,72
"[2016-10-20 15:00:00,2016-10-20 15:20:00)",3,0,72,19,0,1,0,0,0,64,28,1,92
"[2016-10-20 15:00:00,2016-10-20 15:20:00)",4,0,91,4,4,0,1,0,0,73,27,1,100
"[2016-10-20 15:20:00,2016-10-20 15:40:00)",0,0,38,1,1,1,0,0,0,25,16,1,41
"[2016-10-20 15:20:00,2016-10-20 15:40:00)",1,0,91,10,10,2,2,0,0,92,23,1,115
"[2016-10-20 15:20:00,2016-10-20 15:40:00)",2,0,69,10,0,0,0,0,0,53,26,1,79
"[2016-10-20 15:20:00,2016-10-20 15:40:00)",3,0,76,23,2,6,0,0,0,73,34,1,107
"[2016-10-20 15:20:00,2016-10-20 15:40:00)",4,0,90,11,2,1,1,0,0,81,24,1,105
"[2016-10-20 15:40:00,2016-10-20 16:00:00)",0,0,39,3,0,0,0,0,0,32,10,1,42
"[2016-10-20 15:40:00,2016-10-20 16:00:00)",1,0,105,10,1,2,1,0,1,93,27,1,120
"[2016-10-20 15:40:00,2016-10-20 16:00:00)",2,0,54,14,0,2,0,0,0,50,20,1,70
"[2016-10-20 15:40:00,2016-10-20 16:00:00)",3,0,81,27,0,0,0,0,0,79,29,1,108
"[2016-10-20 15:40:00,2016-10-20 16:00:00)",4,0,69,1,1,0,3,0,0,55,19,1,74
"[2016-10-20 16:00:00,2016-10-20 16:20:00)",0,0,41,4,0,1,0,0,0,34,12,1,46
"[2016-10-20 16:00:00,2016-10-20 16:20:00)",1,0,81,7,0,1,1,0,0,62,28,1,90
"[2016-10-20 16:00:00,2016-10-20 16:20:00)",2,0,58,7,0,0,0,0,1,50,16,1,66
"[2016-10-20 16:00:00,2016-10-20 16:20:00)",3,0,103,17,0,1,0,0,0,86,35,1,121
"[2016-10-20 16:00:00,2016-10-20 16:20:00)",4,0,82,2,3,0,5,0,0,76,16,1,92
"[2016-10-20 16:20:00,2016-10-20 16:40:00)",0,0,34,2,0,0,0,0,0,29,7,1,36
"[2016-10-20 16:20:00,2016-10-20 16:40:00)",1,0,62,4,1,4,2,0,0,51,22,1,73
"[2016-10-20 16:20:00,2016-10-20 16:40:00)",2,0,61,6,0,0,0,0,0,46,21,1,67
"[2016-10-20 16:20:00,2016-10-20 16:40:00)",3,0,82,24,0,0,0,0,0,84,22,1,106
"[2016-10-20 16:20:00,2016-10-20 16:40:00)",4,0,76,4,2,0,2,0,0,63,21,1,84
"[2016-10-20 16:40:00,2016-10-20 17:00:00)",0,0,36,1,0,0,0,0,0,27,10,1,37
"[2016-10-20 16:40:00,2016-10-20 17:00:00)",1,0,106,5,3,2,3,0,0,91,28,1,119
"[2016-10-20 16:40:00,2016-10-20 17:00:00)",2,0,62,13,0,0,0,0,0,61,14,1,75
"[2016-10-20 16:40:00,2016-10-20 17:00:00)",3,0,124,20,1,2,0,0,0,98,49,1,147
"[2016-10-20 16:40:00,2016-10-20 17:00:00)",4,0,79,5,2,0,2,0,0,58,30,1,88
"[2016-10-21 06:00:00,2016-10-21 06:20:00)",0,0,8,0,0,0,0,0,0,5,3,1,8
"[2016-10-21 06:00:00,2016-10-21 06:20:00)",1,0,22,7,2,0,2,0,0,32,1,1,33
"[2016-10-21 06:00:00,2016-10-21 06:20:00)",2,0,11,5,0,0,0,0,0,14,2,1,16
"[2016-10-21 06:00:00,2016-10-21 06:20:00)",3,0,15,7,0,0,0,0,0,17,5,1,22
"[2016-10-21 06:00:00,2016-10-21 06:20:00)",4,0,15,0,1,0,5,0,0,19,2,1,21
"[2016-10-21 06:20:00,2016-10-21 06:40:00)",0,0,9,4,0,0,0,0,0,11,2,1,13
"[2016-10-21 06:20:00,2016-10-21 06:40:00)",1,0,21,15,1,0,2,0,0,32,7,1,39
"[2016-10-21 06:20:00,2016-10-21 06:40:00)",2,0,20,4,0,0,0,0,0,17,7,1,24
"[2016-10-21 06:20:00,2016-10-21 06:40:00)",3,0,32,15,0,2,0,0,0,36,13,1,49
"[2016-10-21 06:20:00,2016-10-21 06:40:00)",4,0,14,8,0,0,6,0,0,23,5,1,28
"[2016-10-21 06:40:00,2016-10-21 07:00:00)",0,0,14,6,1,0,0,0,0,17,4,1,21
"[2016-10-21 06:40:00,2016-10-21 07:00:00)",1,0,42,4,4,2,1,1,0,37,17,1,54
"[2016-10-21 06:40:00,2016-10-21 07:00:00)",2,0,35,4,0,0,0,0,0,33,6,1,39
"[2016-10-21 06:40:00,2016-10-21 07:00:00)",3,0,50,12,1,3,0,0,0,45,21,1,66
"[2016-10-21 06:40:00,2016-10-21 07:00:00)",4,0,36,2,2,1,1,0,0,32,10,1,42
"[2016-10-21 07:00:00,2016-10-21 07:20:00)",0,0,22,7,1,2,0,0,0,15,17,1,32
"[2016-10-21 07:00:00,2016-10-21 07:20:00)",1,0,54,8,1,0,2,0,0,49,16,1,65
"[2016-10-21 07:00:00,2016-10-21 07:20:00)",2,0,62,3,0,1,0,0,0,38,28,1,66
"[2016-10-21 07:00:00,2016-10-21 07:20:00)",3,0,95,13,1,7,0,0,0,75,41,1,116
"[2016-10-21 07:00:00,2016-10-21 07:20:00)",4,0,40,7,3,1,3,0,0,33,21,1,54
"[2016-10-21 07:20:00,2016-10-21 07:40:00)",0,0,37,3,0,1,0,0,0,25,16,1,41
"[2016-10-21 07:20:00,2016-10-21 07:40:00)",1,0,91,5,3,2,1,0,0,76,26,1,102
"[2016-10-21 07:20:00,2016-10-21 07:40:00)",2,0,74,2,1,0,0,0,0,42,35,1,77
"[2016-10-21 07:20:00,2016-10-21 07:40:00)",3,0,121,11,2,1,0,0,0,86,49,1,135
"[2016-10-21 07:20:00,2016-10-21 07:40:00)",4,0,68,2,2,1,3,0,0,53,23,1,76
"[2016-10-21 07:40:00,2016-10-21 08:00:00)",0,0,36,0,1,1,0,0,0,29,9,1,38
"[2016-10-21 07:40:00,2016-10-21 08:00:00)",1,0,74,7,3,1,2,0,0,67,20,1,87
"[2016-10-21 07:40:00,2016-10-21 08:00:00)",2,0,87,3,0,0,0,0,0,53,37,1,90
"[2016-10-21 07:40:00,2016-10-21 08:00:00)",3,0,140,13,0,2,0,0,0,101,54,1,155
"[2016-10-21 07:40:00,2016-10-21 08:00:00)",4,0,71,2,2,1,3,0,0,56,23,1,79
"[2016-10-21 15:00:00,2016-10-21 15:20:00)",0,0,45,2,0,0,0,0,0,35,12,1,47
"[2016-10-21 15:00:00,2016-10-21 15:20:00)",1,0,103,6,1,2,1,0,0,80,33,1,113
"[2016-10-21 15:00:00,2016-10-21 15:20:00)",2,0,81,12,0,0,0,0,0,67,26,1,93
"[2016-10-21 15:00:00,2016-10-21 15:20:00)",3,0,111,12,0,4,0,0,0,91,36,1,127
"[2016-10-21 15:00:00,2016-10-21 15:20:00)",4,0,101,6,2,0,4,0,0,87,26,1,113
"[2016-10-21 15:20:00,2016-10-21 15:40:00)",0,0,43,6,0,0,0,0,0,43,6,1,49
"[2016-10-21 15:20:00,2016-10-21 15:40:00)",1,0,95,5,2,2,2,0,0,71,35,1,106
"[2016-10-21 15:20:00,2016-10-21 15:40:00)",2,0,67,8,0,1,0,0,0,57,19,1,76
"[2016-10-21 15:20:00,2016-10-21 15:40:00)",3,0,143,22,2,1,0,0,0,113,55,1,168
"[2016-10-21 15:20:00,2016-10-21 15:40:00)",4,0,95,4,1,0,0,0,0,76,24,1,100
"[2016-10-21 15:40:00,2016-10-21 16:00:00)",0,0,52,3,0,0,0,0,0,35,20,1,55
"[2016-10-21 15:40:00,2016-10-21 16:00:00)",1,0,113,8,0,4,4,0,0,100,29,1,129
"[2016-10-21 15:40:00,2016-10-21 16:00:00)",2,0,82,10,0,0,0,0,0,68,24,1,92
"[2016-10-21 15:40:00,2016-10-21 16:00:00)",3,0,134,19,3,1,0,0,0,117,40,1,157
"[2016-10-21 15:40:00,2016-10-21 16:00:00)",4,0,90,3,0,1,2,0,0,74,22,1,96
"[2016-10-21 16:00:00,2016-10-21 16:20:00)",0,0,59,0,0,0,0,0,0,44,15,1,59
"[2016-10-21 16:00:00,2016-10-21 16:20:00)",1,0,99,4,1,3,0,0,0,76,31,1,107
"[2016-10-21 16:00:00,2016-10-21 16:20:00)",2,0,72,8,0,0,0,0,0,54,26,1,80
"[2016-10-21 16:00:00,2016-10-21 16:20:00)",3,0,125,28,0,2,0,0,0,108,47,1,155
"[2016-10-21 16:00:00,2016-10-21 16:20:00)",4,0,70,2,6,0,0,0,0,55,23,1,78
"[2016-10-21 16:20:00,2016-10-21 16:40:00)",0,0,64,1,0,0,0,0,0,49,16,1,65
"[2016-10-21 16:20:00,2016-10-21 16:40:00)",1,0,103,4,0,0,0,0,0,74,33,1,107
"[2016-10-21 16:20:00,2016-10-21 16:40:00)",2,0,87,10,0,0,0,0,0,77,20,1,97
"[2016-10-21 16:20:00,2016-10-21 16:40:00)",3,0,120,30,1,1,0,0,0,116,36,1,152
"[2016-10-21 16:20:00,2016-10-21 16:40:00)",4,0,83,3,2,0,4,0,0,69,23,1,92
"[2016-10-21 16:40:00,2016-10-21 17:00:00)",0,0,66,1,0,1,0,0,0,49,19,1,68
"[2016-10-21 16:40:00,2016-10-21 17:00:00)",1,0,102,5,0,2,0,0,0,70,39,1,109
"[2016-10-21 16:40:00,2016-10-21 17:00:00)",2,0,71,7,0,0,0,0,0,58,20,1,78
"[2016-10-21 16:40:00,2016-10-21 17:00:00)",3,0,134,28,1,2,0,0,0,123,42,1,165
"[2016-10-21 16:40:00,2016-10-21 17:00:00)",4,0,94,6,4,0,0,0,0,74,30,1,104
"[2016-10-22 06:00:00,2016-10-22 06:20:00)",0,0,6,1,0,0,0,0,0,5,2,0,7
"[2016-10-22 06:00:00,2016-10-22 06:20:00)",1,0,22,4,1,1,3,0,0,29,2,0,31
"[2016-10-22 06:00:00,2016-10-22 06:20:00)",2,0,14,8,0,0,0,0,0,17,5,0,22
"[2016-10-22 06:00:00,2016-10-22 06:20:00)",3,0,20,7,0,0,0,0,0,21,6,0,27
"[2016-10-22 06:00:00,2016-10-22 06:20:00)",4,0,12,4,1,1,1,0,0,17,2,0,19
"[2016-10-22 06:20:00,2016-10-22 06:40:00)",0,0,6,2,0,0,0,0,0,6,2,0,8
"[2016-10-22 06:20:00,2016-10-22 06:40:00)",1,0,25,7,1,0,3,0,0,34,2,0,36
"[2016-10-22 06:20:00,2016-10-22 06:40:00)",2,0,16,6,0,0,0,0,0,17,5,0,22
"[2016-10-22 06:20:00,2016-10-22 06:40:00)",3,0,27,9,1,0,0,0,0,26,11,0,37
"[2016-10-22 06:20:00,2016-10-22 06:40:00)",4,0,12,4,2,0,0,0,0,17,1,0,18
